FieldOfCourse,CourseNumber,CourseName,SemesterTaken,TakenAt
ling,879C,Seminar in Semantics,Spring 2019,University of Maryland
ling,849C,Seminar in Psycholinguistics; Computational Psycholinguistics,Spring 2019,University of Maryland
ling,859A,Seminar in Language Acquisition,Fall 2018,University of Maryland
psyc,601,Quantitative Methods I,Fall 2018,University of Maryland
ling,661,Issues in Semantics,Spring 2018,University of Maryland
ling,641,Issues in Psycholinguistics,Spring 2018,University of Maryland
ling,611,Issues in Syntax,Spring 2018,University of Maryland
ling,660,Introduction to Semantics,Fall 2017,University of Maryland
ling,640,Psycholinguistics,Fall 2017,University of Maryland
ling,610,Syntactic Theory,Fall 2017,University of Maryland
li,419,Topics in South Asian Linguistics,Summer 2015,2015 Linguistic Institute
li,420,Topics in Syntax and Semantics of Slavic,Summer 2015,2015 Linguistic Institute
li,347,Verb-initiality,Summer 2015,2015 Linguistic Institute
li,339,The Psycholinguistics of Grammar,Summer 2015,2015 Linguistic Institute
li,305,Approaches to Morphosemantics,Summer 2015,2015 Linguistic Institute
li,327,Passives in Distributed Morphology,Summer 2015,2015 Linguistic Institute
li,550,Scalar Implicatures and Grammar,Summer 2013,2013 Linguistic Institute
li,546,Prosody and Information Structure,Summer 2013,2013 Linguistic Institute
li,524,Introduction to Minimalist Syntax,Summer 2013,2013 Linguistic Institute
li,523,Intensional Semantics,Summer 2013,2013 Linguistic Institute
lin,892,Structure of Noun Phrases: Acquisition and Variation,Spring 2015,Michigan State University
lin,892,Seminar in Neurolinguistics,Spring 2014,Michigan State University
lin,892,Seminar in Semantics,Fall 2013,Michigan State University
lin,837,Advanced Studies in Semantics and Pragmatics,Fall 2014,Michigan State University
lin,835,Syntactic Theory II,Fall 2013,Michigan State University
lin,834,Syntactic Theory I,Spring 2013,Michigan State University
lin,825,Phonological Theory II,Fall 2014,Michigan State University
lin,824,Phonological Theory I,Spring 2015,Michigan State University
lin,491,Laboratory Phonetics,Spring 2014,Michigan State University
lin,491,Statistics for Linguists,Fall 2013,Michigan State University
lin,471,Sociolinguistics,Fall 2012,Michigan State University
lin,463,Introduction to Cognitive Science,Spring 2011,Michigan State University
lin,437,Semantics and Pragmatics,Spring 2012,Michigan State University
lin,434,Introduction to Syntax,Fall 2011,Michigan State University
lin,431,Introduction to Morphology,Spring 2013,Michigan State University
lin,424,Introduction to Phonetics and Phonology,Spring 2013,Michigan State University
lin,401,Introduction to Linguistics,Spring 2011,Michigan State University
lin,225,Language and Gender,Fall 2011,Michigan State University
phl,431,"Topics in philosophy, logic, and language",Spring 2013,Michigan State University
