Type,FirstAuthorFirst,FirstAuthorMiddle,FirstAuthorLast,SecondAuthorFirst,SecondAuthorMiddle,SecondAuthorLast,ThirdAuthorFirst,ThirdAuthorMiddle,ThirdAuthorLast,FourthAuthorFirst,FourthAuthorMiddle,FourthAuthorLast,Year,Month,Title,PresentedAt,Address,BIB
Refereed Conference Presentations,\textbf{Adam},,\textbf{Liter},Christopher,C.,Heffner,Cristina,,Schmitt,,,,2013,October,Inclusive plural interpretations depend on grammaticalized number: an argument from artificial language learning,Paper presented at the Workshop on the Acquisition of Quantification,"University of Massachusetts, Amherst, MA",
Conference Presentations,\textbf{Adam},,\textbf{Liter},,,,,,,,,,2014,October,Toward an explanatory account of appositives,Paper presented at the Graduate Workshop of the American Midwest and Prairies (GWAMP 2014),"University of Wisconsin, Milwaukee, WI",
Refereed Undergraduate Conference Presentations,\textbf{Adam},,\textbf{Liter},Christopher,C.,Heffner,Cristina,,Schmitt,,,,2013,April,An Artificial Language Investigation of Number and Number Neutrality,Paper presented at the third annual Great Lakes Expo for Experimental and Formal Undergraduate Linguistics (GLEEFUL),"Michigan State University, East Lansing, MI",
Refereed Undergraduate Conference Presentations,\textbf{Adam},,\textbf{Liter},,,,,,,,,,2013,April,Beyond an Animal Care Ethics: A First Approximation of Dialogic Standpoint Theory,Paper presented at the Sixth Annual Undergraduate Ethics Symposium,"DePauw University, Greencastle, IN",
Refereed Undergraduate Conference Presentations,\textbf{Adam},,\textbf{Liter},,,,,,,,,,2012,November,Facebook's Facility for Necessary (Political) Identities: A case study of asymmetric moral and epistemic standings,Paper presented at the 7th Annual Southern Illinois University Edwardsville Undergraduate Philosophy Conference,"Southern Illinois University, Edwardsville, IL",
Refereed Undergraduate Conference Presentations,Christopher,C.,Heffner,\textbf{Adam},,\textbf{Liter},Cristina,,Schmitt,,,,2011,April,Dogs not put in boxes by boys: Learning a novel number system,Poster presented at the first annual Great Lakes Expo for Experimental and Formal Undergraduate Linguistics (GLEEFUL),"Michigan State University, East Lansing, MI",
Undergraduate Conference Presentations,\textbf{Adam},,\textbf{Liter},Christopher,C.,Heffner,Cristina,,Schmitt,,,,2013,April,An Artificial Language Investigation of Number and Number Neutrality,Paper presented at the fourth annual Michigan State Undergraduate Linguistics Conference (MSULC),"Michigan State University, East Lansing, MI",
Undergraduate Conference Presentations,Christopher,C.,Heffner,\textbf{Adam},,\textbf{Liter},Cristina,,Schmitt,,,,2012,April,"Lions, zebras, and plurals, oh my!: Learning a novel number system",Poster presented at the third annual Michigan State Undergraduate Linguistics Conference (MSULC),"Michigan State University, East Lansing, MI",
Undergraduate Conference Presentations,Christopher,C.,Heffner,\textbf{Adam},,\textbf{Liter},Cristina,,Schmitt,,,,2012,April,"Lions, zebras, and plurals, oh my!: Learning a novel number system",Poster presented at the University Undergraduate Research and Arts Forum (UURAF),"Michigan State University, East Lansing, MI",
Undergraduate Conference Presentations,Christopher,C.,Heffner,\textbf{Adam},,\textbf{Liter},Cristina,,Schmitt,,,,2011,April,Dogs not put in boxes by boys: Learning a novel number system,Poster presented at the second annual Michigan State Undergraduate Linguistics Conference (MSULC),"Michigan State University, East Lansing, MI",
Undergraduate Conference Presentations,Christopher,C.,Heffner,\textbf{Adam},,\textbf{Liter},Cristina,,Schmitt,,,,2011,April,Dogs not put in boxes by boys: Learning a novel number system,Poster presented at the University Undergraduate Research and Arts Forum (UURAF),"Michigan State University, East Lansing, MI",
Undergraduate Conference Presentations,\textbf{Adam},,\textbf{Liter},,,,,,,,,,2011,April,Towards a Theoretical Tool against Anthropogenic Environmental Harm: Bringing the Western ``Bio-logic'' into View,Paper presented at the University Undergraduate Research and Arts Forum (UURAF),"Michigan State University, East Lansing, MI",
